Ages,Section,Question,Answers_Choices,Materials:,Score:,Score 2:,Note,Other Instructions,Instructions
1.0-1.5,Auditory Comprehension,12. Interrupts activity when you call his or her name,,"toys or objects that the child has previously shown an interest in (e.g., rattle, loud squeaky toy)",1 = Stops playing and looks or moves toward the person who called his or her name,"CR O E 1 0
",,,
1.0-1.5,Expressive Communication,9. Seeks attention from others,Child's behavior:_______________,none,1 = Acts to gain or maintain attention,,,,
1.0-1.5,Expressive Communication,10. Vocalizes two different vowel sounds,"Vowels the child produced:________________
",toy of interest to child,1 = Produces two different vowel sounds,,,,
1.0-1.5,Expressive Communication,11. Combines sounds,Sound combinations the child produced:_____________," infant toys (e.g., ball, bubbles)","1 = Produces a sound combination or syllable (V-V, C-V, or V-C)",,,,
1.0-1.5,Expressive Communication,12. Takes multiple turns vocalizing,,none,1 = Takes two turns vocalizing in response to caregiver's vocalizations,,,,
1.0-1.5,Auditory Comprehension,13. Looks at objects or people the caregiver points to and names,,"toys or objects that the child has previously shown an interest in (e.g., rattle, loud squeaky toy) Ask the caregiver to point to an object or family member and say, Look at (name of the object or person).","1 = Looks at the toys, objects, or people the caregiver indicates",,,,
1.6-1.11,Auditory Comprehension,"14. Responds to an inhibitory word (e.g., No)",,toys or objects that caregiver thinks the child knows words for ,"1 = Stops, withdraws, or pauses briefly before reaching for object",,Refer to the Administration and Scoring Manual for complete administration directions.,,"Items 14 and 15 Administer simultaneously, using the same procedure."
1.6-1.11,Auditory Comprehension,15. Understands a specific word or phrase without the use of gestural cues,,toys or objects that caregiver thinks the child knows words for,1 = Responds appropriately to one word/phrase,,Refer to the Administration and Scoring Manual for complete administration directions.,,
1.0-1.5,Expressive Communication,13. Plays simple games with another while using appropriate eye contact,," infant toys (e.g., blocks, car, ball, bubbles, box, book, cloth)","1 = Participates with another in play while using appropriate eye contact
",,,,
1.6-1.11,Expressive Communication,14. Vocalizes two different consonant sounds,"Circle the consonant sounds the child produced: b d m n p
Other: _____________","infant toys (e.g., teddy bear, rattle) ","1 = Produces two different consonant sounds
",,,,
1.6-1.11,Auditory Comprehension,16. Demonstrates functional play,,"2 cups, spoon, car, 6 blocks, comb, ball","1 = One example of using objects appropriately
",,,"Place the objects in front of the child. Say, Look at all these things.
I'm going to play with the blocks. Stack three blocks. Gesture and say, You play too. If necessary, demonstrate playing with the car.
","Items 16-18 Administer simultaneously, using the same procedure.

"
1.6-1.11,Auditory Comprehension,17. Demonstrates functional play,,"2 cups, spoon, car, 6 blocks, comb, ball","1 = One example of using two objects together in play
",,,,
1.6-1.11,Auditory Comprehension,18. Demonstrates self-directed play,,,1 = One example of using objects toward self,,"If the child demonstrates other-directed play (e.g., feeding the caregiver, combing the caregiver's hair), credit the child for self-directed play.",,
1.6-1.11,Expressive Communication,15. Babbles two syllables together,"Two syllable combinations the child produced:_____________
","bubbles, infant toys the child has previously shown an interest in
","1 = Babbles a two-syllable combination (e.g., mama, bada)
",,,,
1.6-1.11,Expressive Communication,16. Uses a representational (symbolic) gesture,,infant toys and objects,"1 = Uses one representational gesture (e.g., waves bye-bye, claps hands, moves body)",,Refer to the Administration and Scoring Manual for complete administration directions.,,
1.6-1.11,Expressive Communication,17. Uses at least one word,Words the child produced:______________,toys and objects the child has previously shown an interest in ,1 = Demonstrates meaningful use of one word,,,,
2.0-2.5,Auditory Comprehension,"19. Follows routine, familiar directions with gestural cues","a. Put the ball in the box (point to where the ball goes).
b. Throw the ball (model throwing the ball).
c. Give me the keys (hold out your hand).
d. other:________________
","ball, box without lid, keys on a key ring","1 = Produces one two- to three-syllable string with inflection similar to adult speech
",,,,
2.0-2.5,Expressive Communication,18. Produces syllable strings (two to three syllables) with inflection similar to adult speech,Syllable strings the child produced:_______________,toys and objects the child has previously shown an interest in,"1 = Produces one two- to three-syllable string with inflection similar to adult speech
",,,,
2.0-2.5,Expressive Communication,19. Participates in a play routine with another person for at least 1 minute while using appropriate eye contact,,"stopwatch or watch with second hand
","1 = Attends, using appropriate eye contact for 1 minute
",,,,
2.0-2.5,Expressive Communication,"20. Imitates a word
","a. bubble_____________________
b. bear_____________________
c. crayon/paper_____________________
d. other:_____________________
","bubbles, teddy bear, crayon and paper
",1 = Imitates one word,,,,
2.0-2.5,Expressive Communication,"21. Produces different types of consonant-vowel (C-V) combinations
","a. C-V:_____________________
b. C-V-C:_____________________
c. C-V-C-V:_____________________
d. other:
"," toys and objects the child has previously shown an interest in Consonant-vowel combinations the child produced:
","1 = Produces three different consonant-vowel combinations
(e.g., C-V, C-V-C, C-V-C-V)",,,,
